,Home Team,Home Score,Away Team,Away Score,HomeAway Bool
357,Clemson,27,Georgia Tech,13,1
358,Colorado,24,Texas Tech,27,1
359,Utah,59,Colorado St,6,1
360,Louisville,26,Connecticut,0,1
361,Virginia Tech,44,Duke,7,1
362,East Carolina,37,Marshall,10,1
363,Virginia,48,E Michigan,21,1
364,San Jose St,18,Fresno St,33,1
365,Kentucky,31,Georgia,44,1
366,Utah St,7,Hawaii,45,1
367,SMU,20,Houston,45,1
368,Illinois,43,Indiana,13,1
369,Iowa,30,Wisconsin,31,1
370,Texas,21,Iowa St,28,1
371,Kansas,10,Texas A&M,45,1
372,MTSU,38,ULM,10,1
373,Miami FL,33,North Carolina,10,1
374,Miami OH,13,Ohio,34,1
375,Northwestern,27,Michigan St,35,1
376,Minnesota,21,Penn St,33,1
377,Missouri,36,Oklahoma,27,1
378,Navy,35,Notre Dame,17,0
379,Oklahoma St,41,Nebraska,51,1
380,New Mexico,20,San Diego St,30,1
381,Ohio St,49,Purdue,0,1
382,Pittsburgh,41,Rutgers,21,1
383,Vanderbilt,7,South Carolina,21,1
384,Stanford,38,Washington St,28,1
385,West Virginia,14,Syracuse,19,1
386,UTEP,24,Tulane,34,1
387,Boise St,49,Louisiana Tech,20,1
388,NC State,28,Florida St,24,1
389,Connecticut,16,West Virginia,13,1
390,Air Force,23,Utah,28,1
391,Temple,30,Akron,0,1
392,Southern Miss,49,UAB,50,1
393,UCLA,21,Arizona,29,1
394,Arizona St,42,Washington St,0,1
395,Arkansas,49,Vanderbilt,14,1
396,Mississippi,31,Auburn,51,1
397,Kent,33,Ball St,14,1
398,Texas,22,Baylor,30,1
399,Boston College,16,Clemson,10,1
400,C Michigan,14,Bowling Green,17,1
401,Buffalo,9,Miami OH,21,1
402,Oregon St,35,California,7,1
403,UCF,49,East Carolina,35,1
404,Cincinnati,7,Syracuse,31,1
405,Oklahoma,43,Colorado,10,1
406,Colorado St,38,New Mexico,14,1
407,Navy,31,Duke,34,1
408,E Michigan,7,Toledo,42,1
409,Florida,34,Georgia,31,0
410,FL Atlantic,21,Florida Intl,9,1
411,Memphis,17,Houston,56,1
412,Illinois,44,Purdue,10,1
413,Indiana,17,Northwestern,20,1
414,Iowa,37,Michigan St,6,1
415,Iowa St,28,Kansas,16,1
416,Kansas St,14,Oklahoma St,24,1
417,Mississippi St,24,Kentucky,17,1
418,ULM,28,Troy,14,1
419,Pittsburgh,20,Louisville,3,1
420,Marshall,16,UTEP,12,1
421,Maryland,62,Wake Forest,14,1
422,Virginia,24,Miami FL,19,1
423,Penn St,41,Michigan,31,1
424,Minnesota,10,Ohio St,52,1
425,Nebraska,31,Missouri,17,1
426,Nevada,56,Utah St,42,1
427,UNLV,6,TCU,48,1
428,WKU,6,North Texas,33,1
429,W Michigan,21,N Illinois,28,1
430,Notre Dame,27,Tulsa,28,1
431,USC,32,Oregon,53,1
432,Wyoming,38,San Diego St,48,1
433,South Carolina,38,Tennessee,24,1
434,Tulane,17,SMU,31,1
435,Washington,0,Stanford,41,1
436,Texas A&M,45,Texas Tech,27,1
437,Arkansas St,51,MTSU,24,1
438,South Florida,28,Rutgers,27,1
439,Ohio,34,Buffalo,17,1
440,Virginia Tech,28,Georgia Tech,21,1
441,Houston,33,UCF,40,1
442,C Michigan,26,W Michigan,22,1
443,Army,22,Air Force,42,1
444,Ball St,37,Akron,30,1
445,LSU,24,Alabama,21,1
446,UAB,17,Marshall,31,1
447,Stanford,42,Arizona,17,1
448,USC,34,Arizona St,33,1
449,South Carolina,20,Arkansas,41,1
450,Oklahoma St,55,Baylor,28,1
451,Boise St,42,Hawaii,7,1
452,Wake Forest,13,Boston College,23,1
453,BYU,55,UNLV,7,1
454,Washington St,13,California,20,1
455,Clemson,14,NC State,13,1
456,Kansas,52,Colorado,45,1
457,San Diego St,24,Colorado St,19,1
458,Duke,55,Virginia,48,1
459,East Carolina,35,Navy,76,1
460,Vanderbilt,14,Florida,55,1
461,WKU,16,FL Atlantic,17,1
462,Florida Intl,42,ULM,35,1
463,Florida St,35,North Carolina,37,1
464,Louisiana Tech,34,Fresno St,40,1
465,Michigan,67,Illinois,65,1
466,Indiana,13,Iowa,18,1
467,Iowa St,30,Nebraska,31,1
468,Kansas St,39,Texas,14,1
469,Kent,10,Temple,28,1
470,Syracuse,20,Louisville,28,1
471,Miami FL,26,Maryland,20,1
472,Memphis,14,Tennessee,50,1
473,Michigan St,31,Minnesota,8,1
474,Texas Tech,24,Missouri,17,1
475,New Mexico,34,Wyoming,31,1
476,Utah St,27,New Mexico St,22,1
477,North Texas,35,Troy,41,1
478,Penn St,35,Northwestern,21,1
479,Texas A&M,33,Oklahoma,19,1
480,Oregon,53,Washington,16,1
481,UCLA,17,Oregon St,14,1
482,Purdue,13,Wisconsin,34,1
483,Tulsa,64,Rice,27,1
484,UTEP,28,SMU,14,1
485,Tulane,30,Southern Miss,46,1
486,Utah,7,TCU,47,1
487,N Illinois,65,Toledo,30,1
488,Bowling Green,21,Miami OH,24,1
489,Connecticut,30,Pittsburgh,28,1
490,UAB,42,East Carolina,54,1
491,Buffalo,3,Ball St,20,1
492,Air Force,48,New Mexico,23,1
493,Alabama,30,Mississippi St,10,1
494,Arizona,21,USC,24,1
495,Arizona St,13,Stanford,17,1
496,Arkansas,58,UTEP,21,1
497,Arkansas St,35,WKU,36,1
498,Kent,28,Army,45,1
499,Auburn,49,Georgia,31,1
500,Baylor,30,Texas A&M,42,1
501,Duke,16,Boston College,21,1
502,Colorado St,10,BYU,49,1
503,California,13,Oregon,15,1
504,UCF,21,Southern Miss,31,1
505,Navy,38,C Michigan,37,1
506,West Virginia,37,Cincinnati,10,1
507,Florida St,16,Clemson,13,1
508,Colorado,34,Iowa St,14,1
509,W Michigan,45,E Michigan,30,1
510,Florida,14,South Carolina,36,1
511,Troy,35,Florida Intl,52,1
512,Fresno St,34,Nevada,35,1
513,Georgia Tech,10,Miami FL,35,1
514,Houston,25,Tulsa,28,1
515,Illinois,34,Minnesota,38,1
516,Wisconsin,83,Indiana,20,1
517,Northwestern,21,Iowa,17,1
518,Nebraska,20,Kansas,3,1
519,Missouri,38,Kansas St,28,1
520,Kentucky,38,Vanderbilt,20,1
521,LSU,51,ULM,0,1
522,New Mexico St,20,Louisiana Tech,41,1
523,Louisville,21,South Florida,24,1
524,Marshall,28,Memphis,13,1
525,Virginia,23,Maryland,42,1
526,Purdue,16,Michigan,27,1
527,MTSU,17,North Texas,23,1
528,Tennessee,52,Mississippi,14,1
529,UNLV,42,Wyoming,16,1
530,North Carolina,10,Virginia Tech,26,1
531,NC State,38,Wake Forest,3,1
532,Notre Dame,28,Utah,3,1
533,Ohio St,38,Penn St,14,1
534,Oklahoma,45,Texas Tech,7,1
535,Texas,16,Oklahoma St,33,1
536,Oregon St,14,Washington St,31,1
537,Tulane,54,Rice,49,1
538,Rutgers,10,Syracuse,13,1
539,TCU,40,San Diego St,35,1
540,San Jose St,34,Utah St,38,1
541,Temple,23,Ohio,31,1
542,Akron,14,Miami OH,19,1
543,Toledo,33,Bowling Green,14,1
544,UNLV,20,Air Force,35,1
545,Washington,24,UCLA,7,1
546,Alabama,63,Georgia St,7,1
547,Boise St,51,Fresno St,0,1
548,UAB,31,Memphis,15,1
549,Mississippi St,31,Arkansas,38,1
550,Navy,35,Arkansas St,19,1
551,Notre Dame,27,Army,3,0
552,Ball St,21,N Illinois,59,1
553,Baylor,24,Oklahoma,53,1
554,Boston College,17,Virginia,13,1
555,BYU,40,New Mexico,7,1
556,Buffalo,17,E Michigan,21,1
557,California,14,Stanford,48,1
558,Tulane,14,UCF,61,1
559,Cincinnati,69,Rutgers,38,1
560,Wake Forest,10,Clemson,30,1
561,Colorado,44,Kansas St,36,1
562,Wyoming,44,Colorado St,0,1
563,Syracuse,6,Connecticut,23,1
564,Georgia Tech,30,Duke,20,1
565,Rice,62,East Carolina,38,1
566,Florida,48,Appalachian St,10,1
567,Texas,51,FL Atlantic,17,1
568,Maryland,16,Florida St,30,1
569,Hawaii,41,San Jose St,7,1
570,Southern Miss,59,Houston,41,1
571,Northwestern,27,Illinois,48,1
572,Penn St,41,Indiana,24,0
573,Iowa,17,Ohio St,20,1
574,Iowa St,0,Missouri,14,1
575,Kansas,14,Oklahoma St,48,1
576,W Michigan,38,Kent,3,1
577,LSU,43,Mississippi,36,1
578,ULM,49,North Texas,37,1
579,Louisville,10,West Virginia,17,1
580,SMU,31,Marshall,17,1
581,Miami FL,17,Virginia Tech,31,1
582,Michigan,28,Wisconsin,48,1
583,Michigan St,35,Purdue,31,1
584,WKU,26,MTSU,27,1
585,Texas A&M,9,Nebraska,6,1
586,Nevada,52,New Mexico St,6,1
587,North Carolina,25,NC State,29,1
588,Oregon St,36,USC,7,1
589,South Florida,10,Pittsburgh,17,1
590,San Diego St,34,Utah,38,1
591,South Carolina,69,Troy,24,1
592,Vanderbilt,10,Tennessee,24,1
593,Tulsa,31,UTEP,28,1
594,Miami OH,23,Temple,3,1
595,Texas,17,Texas A&M,24,1
596,Akron,22,Buffalo,14,1
597,Alabama,27,Auburn,28,1
598,Oregon,48,Arizona,29,1
599,Arizona St,55,UCLA,34,1
600,Nevada,34,Boise St,31,1
601,Bowling Green,7,W Michigan,41,1
602,Toledo,42,C Michigan,31,1
603,Nebraska,45,Colorado,17,1
604,East Carolina,38,SMU,45,1
605,E Michigan,3,N Illinois,71,1
606,Kent,28,Ohio,6,1
607,Rutgers,13,Louisville,40,1
608,Pittsburgh,10,West Virginia,35,1
609,Tulsa,56,Southern Miss,50,1
610,Rice,28,UAB,23,1
611,Arkansas,31,LSU,23,0
612,Florida Intl,31,Arkansas St,24,1
613,Syracuse,7,Boston College,16,1
614,Utah,17,BYU,16,1
615,California,13,Washington,16,1
616,Memphis,17,UCF,37,1
617,Connecticut,38,Cincinnati,17,1
618,Clemson,7,South Carolina,29,1
619,Duke,19,North Carolina,24,1
620,Florida St,31,Florida,7,1
621,MTSU,38,FL Atlantic,14,1
622,Georgia,42,Georgia Tech,34,1
623,New Mexico St,24,Hawaii,59,1
624,Texas Tech,35,Houston,20,1
625,Purdue,31,Indiana,34,1
626,Minnesota,27,Iowa,24,1
627,Missouri,35,Kansas,7,0
628,North Texas,41,Kansas St,49,1
629,Tennessee,24,Kentucky,14,1
630,San Jose St,38,Louisiana Tech,45,1
631,Marshall,38,Tulane,23,1
632,Maryland,38,NC State,31,1
633,Miami FL,20,South Florida,23,1
634,Ohio St,37,Michigan,7,1
635,Penn St,22,Michigan St,28,1
636,Mississippi,23,Mississippi St,31,1
637,San Diego St,48,UNLV,14,1
638,New Mexico,17,TCU,66,1
639,Wisconsin,70,Northwestern,23,1
640,USC,16,Notre Dame,20,1
641,Oklahoma St,41,Oklahoma,47,1
642,Stanford,38,Oregon St,0,1
643,Troy,28,WKU,14,1
644,Vanderbilt,13,Wake Forest,34,1
645,Virginia Tech,37,Virginia,7,1
646,Arizona,29,Arizona St,30,1
647,Fresno St,25,Illinois,23,1
648,Miami OH,26,N Illinois,21,0
649,Boise St,50,Utah St,14,1
650,Cincinnati,10,Pittsburgh,28,1
651,South Florida,16,Connecticut,19,1
652,FL Atlantic,7,Troy,44,1
653,Florida Intl,27,MTSU,28,1
654,Hawaii,59,UNLV,21,1
655,Louisiana Tech,17,Nevada,35,1
656,Oregon St,20,Oregon,37,1
657,West Virginia,35,Rutgers,14,1
658,UCLA,14,USC,28,1
659,Washington St,28,Washington,35,1
660,Virginia Tech,44,Florida St,33,0
661,Auburn,56,South Carolina,17,0
662,UCF,17,SMU,7,1
663,Oklahoma,23,Nebraska,20,0
664,Navy,31,Army,17,0
665,N Illinois,40,Fresno St,17,0
666,Troy,48,Ohio,21,0
667,BYU,52,UTEP,24,0
668,Louisville,31,Southern Miss,28,0
669,Boise St,26,Utah,3,0
670,San Diego St,35,Navy,14,1
671,Hawaii,35,Tulsa,62,1
672,Florida Intl,34,Toledo,32,0
673,Air Force,14,Georgia Tech,7,0
674,Iowa,27,Missouri,24,0
675,NC State,23,West Virginia,7,0
676,Illinois,38,Baylor,14,0
677,Maryland,51,East Carolina,20,0
678,Oklahoma St,36,Arizona,10,0
679,Army,16,SMU,14,0
680,Syracuse,36,Kansas St,34,0
681,North Carolina,30,Tennessee,27,0
682,Washington,19,Nebraska,7,0
683,South Florida,31,Clemson,26,0
684,UCF,10,Georgia,6,0
685,Notre Dame,33,Miami FL,17,0
686,Florida St,26,South Carolina,17,0
687,Alabama,49,Michigan St,7,0
688,Florida,37,Penn St,24,0
689,Mississippi St,52,Michigan,14,0
690,Oklahoma,48,Connecticut,20,0
691,TCU,21,Wisconsin,19,0
692,Texas Tech,45,Northwestern,38,0
693,Stanford,40,Virginia Tech,12,0
694,Ohio St,31,Arkansas,26,0
695,Miami OH,35,MTSU,21,0
696,LSU,41,Texas A&M,24,0
697,Pittsburgh,27,Kentucky,10,0
698,Nevada,20,Boston College,13,0
699,Auburn,22,Oregon,19,0
